dataset,auc_roc,n_valid,n_anomaly,best_channel
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.906890,5329,41,11
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.975560,6160,121,8
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.730151,5529,51,0
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.823972,3328,51,0
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.932373,6187,322,15
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.991189,6033,66,3
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.566653,5080,268,0
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.836043,5307,448,0
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.993508,6035,351,2
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.705526,5532,31,0
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.981515,5962,186,8
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.802243,5739,51,0
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.698118,6195,508,20
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.749456,3148,41,0
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.979436,6090,41,3
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.596571,6389,101,0
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.685451,5241,81,0
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.881412,6288,85,11
171_SWaT_id_1_Sensor_tr_3749_1st_9522,0.679181,11055,1986,7
172_SWaT_id_2_Sensor_tr_23700_1st_23800,0.622668,376027,50026,35
173_GECCO_id_1_Sensor_tr_16165_1st_16265,0.784167,122164,1708,4
174_Exathlon_id_1_Facility_tr_10766_1st_12590,0.998344,32108,5437,6
175_Exathlon_id_2_Facility_tr_10684_1st_10784,0.843574,35780,3695,3
176_Exathlon_id_3_Facility_tr_10766_1st_12590,0.994421,32108,5437,30
177_Exathlon_id_4_Facility_tr_11665_1st_13484,0.994970,34803,2928,17
178_Exathlon_id_5_Facility_tr_12538_1st_12638,0.994059,116467,16013,8
179_Exathlon_id_6_Facility_tr_11665_1st_13484,0.995315,34803,2928,28
180_Exathlon_id_7_Facility_tr_10766_1st_12590,0.994393,32108,5437,30
181_Exathlon_id_8_Facility_tr_11663_1st_13482,0.990277,34800,2948,11
182_Exathlon_id_9_Facility_tr_10766_1st_12590,0.994386,32108,5437,30
183_Exathlon_id_10_Facility_tr_11665_1st_13484,0.994965,34803,2928,17
184_Exathlon_id_11_Facility_tr_11665_1st_13484,0.994970,34803,2928,17
185_Exathlon_id_12_Facility_tr_11665_1st_13484,0.994987,34803,2928,17
186_Exathlon_id_13_Facility_tr_10766_1st_12590,0.994390,32108,5437,30
187_Exathlon_id_14_Facility_tr_6193_1st_6293,0.972408,40275,5725,12
188_Exathlon_id_15_Facility_tr_12538_1st_12638,0.994046,116467,16013,8
189_Exathlon_id_16_Facility_tr_11663_1st_13482,0.990212,34800,2948,11
190_Exathlon_id_17_Facility_tr_12538_1st_12638,0.994025,116467,16013,8
191_Exathlon_id_18_Facility_tr_11665_1st_13484,0.994984,34803,2928,17
192_Exathlon_id_19_Facility_tr_11665_1st_13484,0.994965,34803,2928,17
193_Exathlon_id_20_Facility_tr_8898_1st_8998,0.801578,37560,3799,3
194_Exathlon_id_21_Facility_tr_6985_1st_7085,0.974000,39472,4764,10
195_Exathlon_id_22_Facility_tr_10766_1st_12590,0.994398,32108,5437,30
196_Exathlon_id_23_Facility_tr_11665_1st_13484,0.994953,34803,2928,17
197_Exathlon_id_24_Facility_tr_10766_1st_12590,0.994387,32108,5437,30
198_Exathlon_id_25_Facility_tr_12538_1st_12638,0.994042,116467,16013,8
199_Exathlon_id_26_Facility_tr_12538_1st_12638,0.994023,116467,16013,8
200_Exathlon_id_27_Facility_tr_10766_1st_12590,0.994385,32108,5437,30
